name,total_sales
PLAID OVERSHIRT,10910
POCKET OVERSHIRT,7386
FAUX LEATHER BOMBER JACKET,7197
FAUX LEATHER JACKET,7113
CONTRASTING PATCHES BOMBER JACKET,7050
LIGHTWEIGHT BOMBER JACKET,6694
PATCH BOMBER JACKET,6446
FAUX LEATHER PUFFER JACKET,6401
SUIT JACKET IN 100% LINEN,6075
RIB COLLAR JACKET,5747
